action,actor,user,org,repo,created_at,data.hook_id,data.events,data.events_were,data.target_login,data.old_user,data.team
org.add_member,jasa-aspal-hotmix,jasa-aspal-hotmix,kontraktoraspaljalan-wordpress-com,,1564038939893,,,,,,
org.create,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564038939893,,,,,,
hook.create,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564039823768,126508908,"[""push""]",,,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564039987537,126508908,"[""push"", ""check_suite"", ""create"", ""deploy_key"", ""deployment_status"", ""fork"", ""gollum"", ""label"", ""membership"", ""milestone"", ""organization"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""status"", ""team"", ""team_add""]","[""push""]",,,
org.disable_oauth_app_restrictions,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040112736,,,,,,
org.enable_oauth_app_restrictions,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040175011,,,,,,
hook.create,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040553016,126510931,"[""*""]",,,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040624568,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deploy_key"", ""deployment"", ""deployment_status"", ""fork"", ""gollum"", ""issue_comment"", ""issues"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""org_block"", ""organization"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]","[""*""]",,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040632891,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]","[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]",,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040720426,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]","[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]",,,
hook.config_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040720430,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]",,,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040726658,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]","[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]",,,
hook.events_changed,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040728370,126510931,"[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]","[""check_run"", ""check_suite"", ""commit_comment"", ""create"", ""delete"", ""deployment"", ""deployment_status"", ""deploy_key"", ""fork"", ""gollum"", ""issues"", ""issue_comment"", ""label"", ""member"", ""membership"", ""meta"", ""milestone"", ""organization"", ""org_block"", ""page_build"", ""project"", ""project_card"", ""project_column"", ""public"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""release"", ""repository"", ""repository_import"", ""repository_vulnerability_alert"", ""star"", ""status"", ""team"", ""team_add"", ""watch""]",,,
hook.destroy,jasa-aspal-hotmix,,kontraktoraspaljalan-wordpress-com,,1564040789531,126510931,[],,,,
